location_id,n_flood,n_noflood,thr_mhhw,nwm_peak_flood_med,nwm_peak_noflood_med,theta_star,offset,youden_J,coast,state
596,141,802,0.6647757575,0.132,-0.0379999999999999,0.052,0.6127757574999999,0.6856971047558409,Gulf of Mexico,Louisiana
539,103,840,0.6934845249999999,0.308,-0.002,0.148,0.5454845249999999,0.8308483587609802,Gulf of Mexico,Texas
1431,73,861,0.6654524065,0.306,-0.3139999999999996,0.1360000000000001,0.5294524064999999,0.914292078341527,East Coast,Maine
580,59,884,0.611685865,1.4269999999999998,-0.153,1.077,-0.46531413499999996,0.8214203543216505,Gulf of Mexico,Louisiana
591,59,884,0.5869802975,0.096,-0.1539999999999999,-0.0339999999999999,0.6209802975,0.8642533936651584,Gulf of Mexico,Louisiana
587,58,885,0.6033618255,0.39,0.11,0.25,0.35336182549999995,0.7971166958893434,Gulf of Mexico,Louisiana
1030,45,898,0.55160899,0.126,-0.154,0.016,0.53560899,0.9232120762187577,East Coast,Virginia
1146,45,898,0.5344213435,0.536,0.186,0.426,0.10842134350000004,0.9076713684731502,East Coast,NorthCarolina
822,46,897,0.5224236135,0.1639999999999999,-0.106,0.0939999999999999,0.4284236135000001,0.8940914158305463,SE Florida,Florida
1145,45,898,0.5344213435,0.5409999999999999,0.191,0.421,0.11342134350000005,0.9065577827270478,East Coast,NorthCarolina
821,46,897,0.5224236135,0.1629999999999999,-0.102,0.0879999999999999,0.4344236135000001,0.8851727982162765,SE Florida,Florida
902,36,907,0.45603849500000004,0.429,0.084,0.284,0.17203849500000007,0.8718914614724979,East Coast,NorthCarolina
994,45,898,0.5497521755,0.0119999999999999,-0.248,-0.088,0.6377521755,0.9254392477109626,East Coast,Virginia
1000,45,898,0.5497521755,0.007,-0.243,-0.083,0.6327521755,0.9276664192031675,East Coast,Virginia
1016,41,902,0.526203184,0.099,-0.251,-0.011,0.537203184,0.9223946784922394,East Coast,Virginia
1024,41,902,0.5192346445,0.102,-0.238,-0.0379999999999999,0.5572346444999999,0.9246119733924612,East Coast,Virginia
1038,41,902,0.519943237,0.121,-0.229,0.001,0.518943237,0.916851441241685,East Coast,Virginia
901,36,907,0.5034743355,0.4649999999999999,0.1049999999999999,0.355,0.1484743355,0.8670525542080117,East Coast,NorthCarolina
90,46,897,0.396706061,0.2330000000000001,-0.0869999999999999,0.133,0.263706061,0.9253065774804905,West Coast,California
78,46,897,0.396706061,0.2449999999999998,-0.0649999999999999,0.1449999999999998,0.2517060610000002,0.9208472686733556,West Coast,California
80,46,897,0.395442296,0.28,-0.0349999999999999,0.175,0.22044229600000004,0.9241917502787068,West Coast,California
81,46,897,0.396706061,0.22700000000000004,-0.0879999999999998,0.1219999999999998,0.27470606100000017,0.9230769230769231,West Coast,California
88,46,897,0.396706061,0.2730000000000001,-0.0369999999999999,0.1829999999999998,0.2137060610000002,0.9331103678929766,West Coast,California
89,46,897,0.396706061,0.2730000000000001,-0.0369999999999999,0.1829999999999998,0.2137060610000002,0.9331103678929766,West Coast,California
95,46,897,0.396706061,0.2970000000000001,-0.0129999999999999,0.197,0.199706061,0.9253065774804905,West Coast,California
