location_id,n_days,n_pos,n_candidates,thr_baseline,thr_opt,thr_shift,cost_baseline,cost_opt,cm_baseline,cm_opt,status
596,943,141.0,58.0,0.6647757575,0.1069999999999999,-0.5577757575000001,282.0,138.0,"(0, 0, 141, 802)","(94, 44, 47, 758)",ok
539,943,103.0,93.0,0.6934845249999999,0.193,-0.5004845249999998,202.0,76.0,"(2, 0, 101, 840)","(88, 46, 15, 794)",ok
1431,935,73.0,174.0,0.6654524065,0.2210000000000003,-0.44445240649999973,140.0,52.0,"(3, 0, 70, 862)","(64, 34, 9, 828)",ok
580,943,59.0,211.0,0.611685865,1.282,0.670314135,145.0,40.0,"(53, 133, 6, 751)","(43, 8, 16, 876)",ok
508,132,60.0,47.0,0.40950994350000003,-0.011,-0.42050994350000004,121.0,68.0,"(0, 1, 60, 71)","(52, 52, 8, 20)",ok
591,943,59.0,76.0,0.5869802975,0.031,-0.5559802975,118.0,57.0,"(0, 0, 59, 884)","(51, 41, 8, 843)",ok
587,943,58.0,80.0,0.6033618255,0.32499999999999996,-0.2783618255,106.0,53.0,"(5, 0, 53, 885)","(42, 21, 16, 864)",ok
1226,943,45.0,109.0,0.54429748,0.5370000000000001,-0.007297479999999856,54.0,52.0,"(21, 6, 24, 892)","(23, 8, 22, 890)",ok
80,943,53.0,89.0,0.395442296,0.24999999999999994,-0.14544229600000008,96.0,61.0,"(5, 0, 48, 890)","(35, 25, 18, 865)",ok
1030,943,45.0,78.0,0.55160899,0.061,-0.49060898999999997,90.0,33.0,"(0, 0, 45, 898)","(38, 19, 7, 879)",ok
1225,943,41.0,104.0,0.5465125135,0.5230000000000001,-0.023512513499999832,46.0,43.0,"(24, 12, 17, 890)","(30, 21, 11, 881)",ok
1146,943,45.0,94.0,0.5344213435,0.5009999999999999,-0.033421343500000145,46.0,30.0,"(24, 4, 21, 894)","(34, 8, 11, 890)",ok
1145,943,45.0,97.0,0.5344213435,0.486,-0.04842134350000005,47.0,30.0,"(23, 3, 22, 895)","(37, 14, 8, 884)",ok
901,943,36.0,93.0,0.5034743355,0.39999999999999997,-0.10347433550000001,54.0,32.0,"(12, 6, 24, 901)","(31, 22, 5, 885)",ok
822,943,46.0,76.0,0.5224236135,0.13899999999999996,-0.38342361350000004,92.0,50.0,"(0, 0, 46, 897)","(33, 24, 13, 873)",ok
821,943,46.0,77.0,0.5224236135,0.14299999999999996,-0.37942361350000003,92.0,52.0,"(0, 0, 46, 897)","(32, 24, 14, 873)",ok
1024,943,41.0,90.0,0.5192346445,0.027,-0.4922346445,80.0,26.0,"(1, 0, 40, 902)","(35, 14, 6, 888)",ok
1038,943,41.0,90.0,0.519943237,0.0359999999999999,-0.4839432370000001,80.0,25.0,"(1, 0, 40, 902)","(36, 15, 5, 887)",ok
902,943,36.0,94.0,0.45603849500000004,0.389,-0.06703849500000003,48.0,33.0,"(15, 6, 21, 901)","(28, 17, 8, 890)",ok
994,943,45.0,77.0,0.5497521755,-0.053000000000000005,-0.6027521755,90.0,29.0,"(0, 0, 45, 898)","(39, 17, 6, 881)",ok
1000,943,45.0,78.0,0.5497521755,-0.048,-0.5977521755,90.0,29.0,"(0, 0, 45, 898)","(39, 17, 6, 881)",ok
1016,943,41.0,88.0,0.526203184,0.013999999999999999,-0.512203184,80.0,28.0,"(1, 0, 40, 902)","(35, 16, 6, 886)",ok
95,943,47.0,88.0,0.396706061,0.252,-0.144706061,84.0,49.0,"(5, 0, 42, 896)","(39, 33, 8, 863)",ok
78,943,46.0,91.0,0.396706061,0.1999999999999999,-0.1967060610000001,84.0,48.0,"(4, 0, 42, 897)","(40, 36, 6, 861)",ok
81,943,46.0,88.0,0.396706061,0.177,-0.219706061,88.0,49.0,"(2, 0, 44, 897)","(38, 33, 8, 864)",ok
88,943,46.0,86.0,0.396706061,0.23799999999999993,-0.15870606100000006,82.0,46.0,"(5, 0, 41, 897)","(36, 26, 10, 871)",ok
89,943,46.0,86.0,0.396706061,0.23799999999999993,-0.15870606100000006,82.0,46.0,"(5, 0, 41, 897)","(36, 26, 10, 871)",ok
90,943,46.0,90.0,0.396706061,0.17799999999999988,-0.21870606100000012,88.0,50.0,"(2, 0, 44, 897)","(40, 38, 6, 859)",ok
145,176,46.0,57.0,0.5011032865,2.1780000000000004,1.6768967135000004,130.0,106.0,"(46, 130, 0, 0)","(42, 98, 4, 32)",ok
1139,74,34.0,0.0,0.533967201,0.533967201,0.0,68.0,68.0,"(0, 0, 34, 40)","(0, 0, 34, 40)",abstain_no_skill
543,943,46.0,95.0,0.6400048475,0.259,-0.38100484749999997,86.0,47.0,"(3, 0, 43, 897)","(30, 15, 16, 882)",ok
806,943,32.0,109.0,0.548588235,0.1929999999999999,-0.3555882350000001,64.0,39.0,"(0, 0, 32, 911)","(20, 15, 12, 896)",ok
1192,42,,,0.5613485,,,,,,,insufficient_labels
568,943,41.0,87.0,0.6092167755,0.517,-0.09221677549999996,68.0,50.0,"(10, 6, 31, 896)","(20, 8, 21, 894)",ok
234,943,42.0,129.0,0.497554099,0.3620000000000001,-0.13555409899999993,64.0,34.0,"(10, 0, 32, 901)","(29, 8, 13, 893)",ok
179,943,42.0,126.0,0.501939251,0.3620000000000001,-0.13993925099999993,62.0,38.0,"(11, 0, 31, 901)","(27, 8, 15, 893)",ok
1244,943,40.0,108.0,0.7090034205,0.202,-0.5070034205,80.0,30.0,"(0, 0, 40, 903)","(33, 16, 7, 887)",ok
1239,943,38.0,112.0,0.7190736695,0.25,-0.46907366949999996,76.0,30.0,"(0, 0, 38, 905)","(30, 14, 8, 891)",ok
1240,943,38.0,112.0,0.7190736695,0.21800000000000003,-0.5010736695,76.0,30.0,"(0, 0, 38, 905)","(34, 22, 4, 883)",ok
1241,943,40.0,110.0,0.7067354969999999,0.184,-0.522735497,80.0,32.0,"(0, 0, 40, 903)","(31, 14, 9, 889)",ok
1243,943,40.0,108.0,0.7067354969999999,0.20800000000000002,-0.4987354969999999,80.0,31.0,"(0, 0, 40, 903)","(29, 9, 11, 894)",ok
1210,943,36.0,105.0,0.523351409,0.2290000000000001,-0.2943514089999999,64.0,14.0,"(4, 0, 32, 907)","(32, 6, 4, 901)",ok
1010,943,37.0,78.0,0.5343961269999999,-0.039,-0.573396127,74.0,36.0,"(0, 0, 37, 906)","(27, 16, 10, 890)",ok
1207,943,35.0,108.0,0.5214107354999999,0.2320000000000001,-0.28941073549999985,60.0,14.0,"(5, 0, 30, 908)","(32, 8, 3, 900)",ok
1250,943,36.0,117.0,0.703829072,-0.0399999999999999,-0.7438290719999999,72.0,30.0,"(0, 0, 36, 907)","(27, 12, 9, 895)",ok
1251,943,36.0,116.0,0.7094876274999999,-0.0329999999999998,-0.7424876274999997,72.0,28.0,"(0, 0, 36, 907)","(27, 10, 9, 897)",ok
989,943,33.0,87.0,0.5309448845,0.015,-0.5159448845,66.0,19.0,"(0, 0, 33, 910)","(29, 11, 4, 899)",ok
557,943,36.0,97.0,0.6220605994999999,0.509,-0.11306059949999991,61.0,47.0,"(12, 13, 24, 894)","(27, 29, 9, 878)",ok
1415,943,35.0,129.0,0.7222471305,0.293,-0.4292471305,64.0,39.0,"(3, 0, 32, 908)","(29, 27, 6, 881)",ok
1328,943,33.0,119.0,1.1492756769999999,0.1790000000000001,-0.9702756769999998,66.0,38.0,"(0, 0, 33, 910)","(28, 28, 5, 882)",ok
999,943,36.0,81.0,0.513320805,-0.022,-0.535320805,72.0,40.0,"(0, 0, 36, 907)","(21, 10, 15, 897)",ok
