location_id,thr_baseline,theta50_bayes,theta_op_bayes,shift_bayes,coast,n_pos_train,thr_breakpoint
8,0.531854779,0.5237673661828006,0.48069158496978426,-0.05116319403021574,West Coast,12,0.4880000000000002
10,0.409937171,0.3434711365921527,0.30039535537913636,-0.10954181562086363,West Coast,6,0.2219999999999997
61,0.4525221645,0.40626208275389475,0.3631863015408784,-0.0893358629591216,West Coast,8,0.3250000000000002
66,0.4525221645,0.4352309789727038,0.39215519775968743,-0.060366966740312555,West Coast,8,0.3510000000000002
78,0.396706061,0.2919790579125267,0.24890327669951035,-0.14780278430048965,West Coast,22,0.2299999999999999
80,0.395442296,0.30477556971413894,0.2616997885011226,-0.13374250749887745,West Coast,26,0.27
81,0.396706061,0.2660601565985521,0.22298437538553573,-0.17372168561446427,West Coast,22,0.197
84,0.3920841485,0.5975988197465795,0.5545230385335631,0.1624388900335631,West Coast,2,0.3920841485
88,0.396706061,0.3143315742024644,0.271255792989448,-0.12545026801055198,West Coast,22,0.2630000000000001
89,0.396706061,0.31359619219209794,0.2705204109790816,-0.12618565002091842,West Coast,22,0.2630000000000001
90,0.396706061,0.2742066640735218,0.23113088286050543,-0.16557517813949457,West Coast,22,0.1979999999999999
95,0.396706061,0.3366556313348848,0.29357985012186844,-0.10312621087813156,West Coast,23,0.292
98,0.3920841485,1.5700578002779602,1.526982019064944,1.134897870564944,West Coast,2,0.3920841485
106,0.3933056575,0.5955807603392347,0.5525049791262183,0.1591993216262183,West Coast,2,0.3933056575
114,0.4312899105,0.3030793184431728,0.26000353723015646,-0.17128637326984353,West Coast,5,0.284
140,0.515476066,1.0312087994513544,0.988133018238338,0.47265695223833804,West Coast,11,0.7980000000000003
141,0.515476066,0.48951394921378333,0.44643816800076697,-0.06903789799923299,West Coast,11,0.4520000000000002
145,0.5011032865,2.6689575536648085,2.625881772451792,2.1247784859517918,West Coast,23,2.1780000000000004
146,0.5149021565,1.8245410413922125,1.7814652601791963,1.2665631036791962,West Coast,11,0.5149021565
173,0.5011108959999999,0.43631957754936646,0.3932437963363501,-0.10786709966364982,West Coast,11,0.3779999999999999
179,0.501939251,0.3627565299886299,0.31968074877561353,-0.1822585022243865,West Coast,25,0.292
234,0.497554099,0.37308123806553634,0.33000545685252,-0.16754864214748005,West Coast,25,0.3620000000000001
269,0.5162866715,0.2897083602640281,0.2466325790510117,-0.26965409244898825,West Coast,13,0.1880000000000001
273,0.5224667075,0.27198827172207773,0.22891249050906137,-0.29355421699093864,West Coast,13,0.185
278,0.45025813,0.5290704601918621,0.48599467897884574,0.03573654897884576,West Coast,4,0.45025813
292,0.4036380545,0.770194048675509,0.7271182674624926,0.32348021296249263,West Coast,10,0.7040000000000002
308,0.3849814285,0.5451470713504263,0.5020712901374099,0.11708986163740992,West Coast,2,0.3849814285
309,0.3916410425,0.5809818685437733,0.537906087330757,0.14626504483075697,West Coast,1,0.3916410425
329,0.621330805,1.1323614622414677,1.0892856810284515,0.4679548760284514,West Coast,3,0.621330805
366,0.3356742515,0.4535316691830721,0.4104558879700557,0.0747816364700557,West Coast,2,0.3356742515
370,0.4753906355,0.8292410414968978,0.7861652602838815,0.31077462478388146,West Coast,3,0.4753906355
386,0.306639759,0.5538490974289046,0.5107733162158883,0.20413355721588827,West Coast,1,0.306639759
485,0.6668567274999999,0.29986012737131607,0.2567843461582997,-0.4100723813417002,Gulf of Mexico,7,0.483
487,0.660989606,0.44690560725559025,0.4038298260425739,-0.2571597799574261,Gulf of Mexico,2,0.660989606
492,0.447501655,0.3469999538275734,0.30392417261455706,-0.14357748238544293,Gulf of Mexico,10,0.362
495,0.438267492,-4.639948408860457,-4.683024190073473,-5.121291682073473,Gulf of Mexico,5,0.438267492
499,0.4504843364999999,0.32781495864199756,0.2847391774289812,-0.16574515907101872,Gulf of Mexico,24,0.218
500,0.4161005,0.4225003966168438,0.37942461540382744,-0.03667588459617255,Gulf of Mexico,4,0.4161005
503,0.4146939935,0.3416303606852152,0.2985545794721988,-0.1161394140278012,Gulf of Mexico,9,0.4146939935
508,0.4095099435,0.10626345792900224,0.0631876767159859,-0.34632226678401407,Gulf of Mexico,37,-0.111
537,0.707536095,0.3151383274596662,0.27206254624664983,-0.4354735487533502,Gulf of Mexico,28,0.256
539,0.6934845249999999,0.2575202482053871,0.21444446699237074,-0.47904005800762917,Gulf of Mexico,78,0.193
543,0.6400048475,0.2811740645998769,0.23809828338686057,-0.4019065641131394,Gulf of Mexico,42,0.199
553,0.689105273,0.5574507037751164,0.5143749225621,-0.17473035043789997,Gulf of Mexico,1,0.689105273
555,0.591097947,0.5185271985671768,0.4754514173541604,-0.11564652964583955,Gulf of Mexico,2,0.591097947
557,0.6220605994999999,0.5875003921529336,0.5444246109399172,-0.07763598856008269,Gulf of Mexico,33,0.509
561,0.5630178539999999,0.7469363166312346,0.7038605354182182,0.14084268141821832,Gulf of Mexico,13,0.785
566,0.615838293,0.3978207059077589,0.35474492469474256,-0.2610933683052575,Gulf of Mexico,11,0.615838293
568,0.6092167755,0.510787902649323,0.4677121214363066,-0.1415046540636934,Gulf of Mexico,31,0.517
569,0.6230962360000001,0.6723612661899434,0.629285484976927,0.006189248976926964,Gulf of Mexico,1,0.6230962360000001
570,0.6396320015,0.5413423400534478,0.4982665588404315,-0.14136544265956852,Gulf of Mexico,2,0.6396320015
571,0.6214221595,0.5157637740236624,0.472687992810646,-0.14873416668935402,Gulf of Mexico,3,0.6214221595
572,0.6494920289999999,0.6141843096847456,0.5711085284717292,-0.0783835005282707,Gulf of Mexico,1,0.6494920289999999
580,0.611685865,1.2690694788747705,1.2259936976617543,0.6143078326617543,Gulf of Mexico,8,1.112
587,0.6033618255,0.38455505995647604,0.3414792787434597,-0.26188254675654027,Gulf of Mexico,48,0.3249999999999999
589,0.591688906,0.45037519313224444,0.4072994119192281,-0.18438949408077193,Gulf of Mexico,17,0.384
591,0.5869802975,0.11670803474671859,0.07363225353370224,-0.5133480439662977,Gulf of Mexico,50,0.031
596,0.6647757575,0.15883395146723508,0.11575817025421874,-0.5490175872457812,Gulf of Mexico,80,0.1069999999999999
599,0.545226868,0.286430745926075,0.24335496471305862,-0.30187190328694136,Gulf of Mexico,24,0.263
613,0.6090958639999999,0.3102434261713833,0.2671676449583669,-0.341928219041633,Gulf of Mexico,10,0.2309999999999999
614,0.6071224964999999,0.2540187452929446,0.21094296407992824,-0.3961795324200717,Gulf of Mexico,18,0.2209999999999999
616,0.606230723,0.2550612497778773,0.21198546856486095,-0.3942452544351391,Gulf of Mexico,18,0.2199999999999999
630,0.7362971855,0.3960983278513875,0.3530225466383711,-0.3832746388616289,Gulf of Mexico,5,0.248
690,0.736427942,0.27159857672762944,0.22852279551461308,-0.5079051464853869,Gulf of Mexico,23,0.3480000000000001
